Container contains 10000 elements:
1: Truck, fuel tank capacity = 97, fuel spending = 41.0, carrying capacity = 41, comparison parameter = 236.58536585365852
2: Truck, fuel tank capacity = 29, fuel spending = 31.0, carrying capacity = 48, comparison parameter = 93.54838709677419
3: Car, fuel tank capacity = 41, fuel spending = 69.0, max speed = 61, comparison parameter = 59.42028985507246
4: Truck, fuel tank capacity = 81, fuel spending = 40.0, carrying capacity = 40, comparison parameter = 202.5
5: Truck, fuel tank capacity = 31, fuel spending = 22.0, carrying capacity = 49, comparison parameter = 140.9090909090909
6: Car, fuel tank capacity = 83, fuel spending = 99.0, max speed = 1, comparison parameter = 83.83838383838383
7: Car, fuel tank capacity = 75, fuel spending = 43.0, max speed = 58, comparison parameter = 174.41860465116278
8: Truck, fuel tank capacity = 98, fuel spending = 17.0, carrying capacity = 27, comparison parameter = 576.4705882352941
9: Bus, fuel tank capacity = 44, fuel spending = 22.0, passenger seats = 48, comparison parameter = 200.0
10: Car, fuel tank capacity = 37, fuel spending = 41.0, max speed = 84, comparison parameter = 90.2439024390244
11: Car, fuel tank capacity = 99, fuel spending = 21.0, max speed = 23, comparison parameter = 471.42857142857144
12: Truck, fuel tank capacity = 2, fuel spending = 11.0, carrying capacity = 49, comparison parameter = 18.181818181818183
13: Bus, fuel tank capacity = 20, fuel spending = 6.0, passenger seats = 89, comparison parameter = 333.33333333333337
14: Car, fuel tank capacity = 93, fuel spending = 9.0, max speed = 45, comparison parameter = 1033.3333333333335
15: Truck, fuel tank capacity = 85, fuel spending = 23.0, carrying capacity = 60, comparison parameter = 369.5652173913044
16: Car, fuel tank capacity = 100, fuel spending = 58.0, max speed = 70, comparison parameter = 172.41379310344826
17: Truck, fuel tank capacity = 60, fuel spending = 64.0, carrying capacity = 64, comparison parameter = 93.75
18: Truck, fuel tank capacity = 47, fuel spending = 62.0, carrying capacity = 37, comparison parameter = 75.80645161290323
19: Truck, fuel tank capacity = 52, fuel spending = 23.0, carrying capacity = 38, comparison parameter = 226.08695652173913
20: Bus, fuel tank capacity = 94, fuel spending = 92.0, passenger seats = 34, comparison parameter = 102.17391304347827
21: Truck, fuel tank capacity = 52, fuel spending = 16.0, carrying capacity = 15, comparison parameter = 325.0
22: Bus, fuel tank capacity = 40, fuel spending = 26.0, passenger seats = 59, comparison parameter = 153.84615384615387
23: Truck, fuel tank capacity = 41, fuel spending = 65.0, carrying capacity = 10, comparison parameter = 63.07692307692307
24: Truck, fuel tank capacity = 3, fuel spending = 51.0, carrying capacity = 93, comparison parameter = 5.88235294117647
