Container contains 10000 elements:
1: Truck, fuel tank capacity = 46, fuel spending = 43.0, carrying capacity = 5, comparison parameter = 106.9767441860465
2: Car, fuel tank capacity = 70, fuel spending = 1.0, max speed = 67, comparison parameter = 7000.0
3: Car, fuel tank capacity = 22, fuel spending = 57.0, max speed = 12, comparison parameter = 38.59649122807017
4: Bus, fuel tank capacity = 57, fuel spending = 52.0, passenger seats = 75, comparison parameter = 109.61538461538463
5: Bus, fuel tank capacity = 88, fuel spending = 100.0, passenger seats = 38, comparison parameter = 88.0
6: Truck, fuel tank capacity = 52, fuel spending = 66.0, carrying capacity = 51, comparison parameter = 78.78787878787878
7: Car, fuel tank capacity = 43, fuel spending = 80.0, max speed = 96, comparison parameter = 53.75
8: Bus, fuel tank capacity = 6, fuel spending = 19.0, passenger seats = 9, comparison parameter = 31.57894736842105
9: Truck, fuel tank capacity = 3, fuel spending = 21.0, carrying capacity = 22, comparison parameter = 14.285714285714285
10: Car, fuel tank capacity = 29, fuel spending = 15.0, max speed = 39, comparison parameter = 193.33333333333334
11: Car, fuel tank capacity = 51, fuel spending = 25.0, max speed = 83, comparison parameter = 204.0
12: Bus, fuel tank capacity = 96, fuel spending = 52.0, passenger seats = 22, comparison parameter = 184.6153846153846
13: Bus, fuel tank capacity = 90, fuel spending = 75.0, passenger seats = 22, comparison parameter = 120.0
14: Truck, fuel tank capacity = 34, fuel spending = 24.0, carrying capacity = 88, comparison parameter = 141.66666666666669
15: Truck, fuel tank capacity = 21, fuel spending = 74.0, carrying capacity = 35, comparison parameter = 28.37837837837838
16: Bus, fuel tank capacity = 18, fuel spending = 59.0, passenger seats = 85, comparison parameter = 30.508474576271187
17: Bus, fuel tank capacity = 31, fuel spending = 48.0, passenger seats = 65, comparison parameter = 64.58333333333334
18: Truck, fuel tank capacity = 42, fuel spending = 6.0, carrying capacity = 63, comparison parameter = 700.0
19: Bus, fuel tank capacity = 49, fuel spending = 15.0, passenger seats = 10, comparison parameter = 326.6666666666667
20: Car, fuel tank capacity = 13, fuel spending = 94.0, max speed = 9, comparison parameter = 13.829787234042554
21: Bus, fuel tank capacity = 42, fuel spending = 54.0, passenger seats = 13, comparison parameter = 77.77777777777779
22: Car, fuel tank capacity = 43, fuel spending = 19.0, max speed = 25, comparison parameter = 226.3157894736842
23: Bus, fuel tank capacity = 24, fuel spending = 94.0, passenger seats = 81, comparison parameter = 25.53191489361702
24: Truck, fuel tank capacity = 38, fuel spending = 97.0, carrying capacity = 14, comparison parameter = 39.175257731958766
25: Truck, fuel tank capacity = 85, fuel spending = 25.0, carrying capacity = 86, comparison parameter = 340.0
26: Bus, fuel tank capacity = 91, fuel spending = 64.0, passenger seats = 60, comparison parameter = 142.1875
27: Truck, fuel tank capacity = 75, fuel spending = 79.0, carrying capacity = 67, comparison parameter = 94.9367088607595
28: Car, fuel tank capacity = 55, fuel spending = 26.0, max speed = 63, comparison parameter = 211.53846153846155
29: Bus, fuel tank capacity = 16, fuel spending = 32.0, passenger seats = 26, comparison parameter = 50.0
30: Bus, fuel tank capacity = 27, fuel spending = 90.0, passenger seats = 32, comparison parameter = 30.0
31: Car, fuel tank capacity = 13, fuel spending = 12.0, max speed = 27, comparison parameter = 108.33333333333333
32: Car, fuel tank capacity = 99, fuel spending = 30.0, max speed = 95, comparison parameter = 330.0
33: Truck, fuel tank capacity = 96, fuel spending = 5.0, carrying capacity = 3, comparison parameter = 1920.0
34: Truck, fuel tank capacity = 38, fuel spending = 1.0, carrying capacity = 97, comparison parameter = 3800.0
35: Bus, fuel tank capacity = 50, fuel spending = 68.0, passenger seats = 76, comparison parameter = 73.52941176470588
36: Bus, fuel tank capacity = 67, fuel spending = 34.0, passenger seats = 70, comparison parameter = 197.05882352941177
37: Car, fuel tank capacity = 28, fuel spending = 48.0, max speed = 72, comparison parameter = 58.333333333333336
38: Bus, fuel tank capacity = 54, fuel spending = 15.0, passenger seats = 72, comparison parameter = 360.0
39: Car, fuel tank capacity = 16, fuel spending = 70.0, max speed = 69, comparison parameter = 22.857142857142858
40: Bus, fuel tank capacity = 33, fuel spending = 4.0, passenger seats = 99, comparison parameter = 825.0
41: Truck, fuel tank capacity = 58, fuel spending = 50.0, carrying capacity = 53, comparison parameter = 115.99999999999999
42: Car, fuel tank capacity = 65, fuel spending = 38.0, max speed = 61, comparison parameter = 171.05263157894737
43: Car, fuel tank capacity = 93, fuel spending = 77.0, max speed = 67, comparison parameter = 120.7792207792208
44: Car, fuel tank capacity = 10, fuel spending = 84.0, max speed = 66, comparison parameter = 11.904761904761903
45: Bus, fuel tank capacity = 19, fuel spending = 88.0, passenger seats = 15, comparison parameter = 21.59090909090909
46: Bus, fuel tank capacity = 46, fuel spending = 79.0, passenger seats = 41, comparison parameter = 58.22784810126582
47: Bus, fuel tank capacity = 44, fuel spending = 92.0, passenger seats = 17, comparison parameter = 47.82608695652174
48: Bus, fuel tank capacity = 90, fuel spending = 45.0, passenger seats = 4, comparison parameter = 200.0
49: Car, fuel tank capacity = 76, fuel spending = 26.0, max speed = 46, comparison parameter = 292.30769230769226
50: Bus, fuel tank capacity = 82, fuel spending = 52.0, passenger seats = 86, comparison parameter = 157.69230769230768
51: Truck, fuel tank capacity = 54, fuel spending = 91.0, carrying capacity = 28, comparison parameter = 59.34065934065934
52: Car, fuel tank capacity = 33, fuel spending = 28.0, max speed = 97, comparison parameter = 117.85714285714286
53: Bus, fuel tank capacity = 58, fuel spending = 26.0, passenger seats = 51, comparison parameter = 223.0769230769231
