Container contains 10000 elements:
1: Truck, fuel tank capacity = 1, fuel spending = 99.0, carrying capacity = 43, comparison parameter = 1.0101010101010102
2: Car, fuel tank capacity = 1, fuel spending = 99.0, max speed = 46, comparison parameter = 1.0101010101010102
3: Truck, fuel tank capacity = 1, fuel spending = 99.0, carrying capacity = 45, comparison parameter = 1.0101010101010102
4: Truck, fuel tank capacity = 1, fuel spending = 99.0, carrying capacity = 81, comparison parameter = 1.0101010101010102
5: Bus, fuel tank capacity = 1, fuel spending = 98.0, passenger seats = 72, comparison parameter = 1.0204081632653061
6: Truck, fuel tank capacity = 1, fuel spending = 97.0, carrying capacity = 69, comparison parameter = 1.0309278350515463
7: Car, fuel tank capacity = 1, fuel spending = 94.0, max speed = 66, comparison parameter = 1.0638297872340425
8: Truck, fuel tank capacity = 1, fuel spending = 92.0, carrying capacity = 31, comparison parameter = 1.0869565217391304
9: Bus, fuel tank capacity = 1, fuel spending = 92.0, passenger seats = 5, comparison parameter = 1.0869565217391304
10: Car, fuel tank capacity = 1, fuel spending = 90.0, max speed = 38, comparison parameter = 1.1111111111111112
11: Bus, fuel tank capacity = 1, fuel spending = 87.0, passenger seats = 9, comparison parameter = 1.1494252873563218
12: Truck, fuel tank capacity = 1, fuel spending = 86.0, carrying capacity = 66, comparison parameter = 1.1627906976744187
13: Car, fuel tank capacity = 1, fuel spending = 86.0, max speed = 32, comparison parameter = 1.1627906976744187
14: Car, fuel tank capacity = 1, fuel spending = 85.0, max speed = 51, comparison parameter = 1.1764705882352942
15: Bus, fuel tank capacity = 1, fuel spending = 85.0, passenger seats = 50, comparison parameter = 1.1764705882352942
16: Car, fuel tank capacity = 1, fuel spending = 84.0, max speed = 48, comparison parameter = 1.1904761904761905
17: Truck, fuel tank capacity = 1, fuel spending = 84.0, carrying capacity = 61, comparison parameter = 1.1904761904761905
18: Truck, fuel tank capacity = 1, fuel spending = 84.0, carrying capacity = 40, comparison parameter = 1.1904761904761905
19: Truck, fuel tank capacity = 1, fuel spending = 83.0, carrying capacity = 86, comparison parameter = 1.2048192771084338
20: Truck, fuel tank capacity = 1, fuel spending = 81.0, carrying capacity = 62, comparison parameter = 1.2345679012345678
21: Bus, fuel tank capacity = 1, fuel spending = 81.0, passenger seats = 68, comparison parameter = 1.2345679012345678
22: Bus, fuel tank capacity = 1, fuel spending = 80.0, passenger seats = 4, comparison parameter = 1.25
23: Truck, fuel tank capacity = 1, fuel spending = 80.0, carrying capacity = 65, comparison parameter = 1.25
24: Car, fuel tank capacity = 1, fuel spending = 79.0, max speed = 25, comparison parameter = 1.2658227848101267
