Container contains 10000 elements:
1: Bus, fuel tank capacity = 1, fuel spending = 20.798490636294385, passenger seats = 10, comparison parameter = 4.808041205908236
2: Bus, fuel tank capacity = 1, fuel spending = 20.79314229594632, passenger seats = 8, comparison parameter = 4.809277913684805
3: Car, fuel tank capacity = 1, fuel spending = 20.57344051221559, max speed = 156, comparison parameter = 4.860635727924285
4: Truck, fuel tank capacity = 1, fuel spending = 20.43698973935112, carrying capacity = 63, comparison parameter = 4.893088526019636
5: Car, fuel tank capacity = 1, fuel spending = 19.938017072495256, max speed = 38, comparison parameter = 5.015543904712132
6: Car, fuel tank capacity = 1, fuel spending = 19.619739501161614, max speed = 159, comparison parameter = 5.096907631932593
7: Truck, fuel tank capacity = 1, fuel spending = 19.387322102869152, carrying capacity = 121, comparison parameter = 5.158009933986751
8: Truck, fuel tank capacity = 1, fuel spending = 19.21972600771606, carrying capacity = 931, comparison parameter = 5.20298780325242
9: Truck, fuel tank capacity = 1, fuel spending = 18.677402057489303, carrying capacity = 654, comparison parameter = 5.354063680387594
10: Truck, fuel tank capacity = 1, fuel spending = 18.343163205529827, carrying capacity = 211, comparison parameter = 5.4516224317217805
11: Truck, fuel tank capacity = 1, fuel spending = 18.204688573813534, carrying capacity = 177, comparison parameter = 5.493090397813486
12: Truck, fuel tank capacity = 1, fuel spending = 18.129201446912152, carrying capacity = 387, comparison parameter = 5.515962757258261
13: Bus, fuel tank capacity = 1, fuel spending = 17.9899782418022, passenger seats = 18, comparison parameter = 5.558650413908572
14: Bus, fuel tank capacity = 1, fuel spending = 17.754074671392353, passenger seats = 19, comparison parameter = 5.632509823850908
15: Car, fuel tank capacity = 1, fuel spending = 17.689643299557833, max speed = 58, comparison parameter = 5.653025236664868
16: Car, fuel tank capacity = 1, fuel spending = 17.66219263291343, max speed = 47, comparison parameter = 5.661811196286602
17: Bus, fuel tank capacity = 1, fuel spending = 17.233397772463437, passenger seats = 17, comparison parameter = 5.802686232878929
18: Bus, fuel tank capacity = 1, fuel spending = 16.90481726201658, passenger seats = 14, comparison parameter = 5.915473586614268
19: Bus, fuel tank capacity = 1, fuel spending = 16.817361558840258, passenger seats = 11, comparison parameter = 5.9462359568189065
20: Truck, fuel tank capacity = 1, fuel spending = 16.58727983102826, carrying capacity = 435, comparison parameter = 6.028716041369209
21: Truck, fuel tank capacity = 1, fuel spending = 16.522242206442893, carrying capacity = 347, comparison parameter = 6.0524472859382685
22: Car, fuel tank capacity = 1, fuel spending = 14.521158941736502, max speed = 123, comparison parameter = 6.88650268213658
23: Truck, fuel tank capacity = 1, fuel spending = 14.417164770372139, carrying capacity = 1000, comparison parameter = 6.936176536284309
24: Truck, fuel tank capacity = 1, fuel spending = 14.286036236970466, carrying capacity = 380, comparison parameter = 6.999842247439676
25: Car, fuel tank capacity = 1, fuel spending = 14.145638371097256, max speed = 146, comparison parameter = 7.069316871858018
26: Car, fuel tank capacity = 1, fuel spending = 13.99845707900679, max speed = 143, comparison parameter = 7.143644434211827
27: Car, fuel tank capacity = 1, fuel spending = 13.818180835312818, max speed = 137, comparison parameter = 7.236842620010203
28: Car, fuel tank capacity = 1, fuel spending = 13.73129814768747, max speed = 43, comparison parameter = 7.282632634179698
29: Truck, fuel tank capacity = 1, fuel spending = 13.011183288366942, carrying capacity = 459, comparison parameter = 7.6856960495982065
30: Truck, fuel tank capacity = 1, fuel spending = 12.975232259851255, carrying capacity = 58, comparison parameter = 7.70699113490446
31: Truck, fuel tank capacity = 1, fuel spending = 12.813897527995602, carrying capacity = 468, comparison parameter = 7.804026821778587
32: Truck, fuel tank capacity = 1, fuel spending = 12.52254138171285, carrying capacity = 259, comparison parameter = 7.9855994843054665
33: Truck, fuel tank capacity = 1, fuel spending = 12.245687007142651, carrying capacity = 72, comparison parameter = 8.166140449422896
34: Car, fuel tank capacity = 1, fuel spending = 12.156160014291212, max speed = 14, comparison parameter = 8.226281974113245
35: Truck, fuel tank capacity = 1, fuel spending = 11.733468497982576, carrying capacity = 143, comparison parameter = 8.522629094473961
36: Bus, fuel tank capacity = 1, fuel spending = 11.688775583407446, passenger seats = 13, comparison parameter = 8.555216009275846
37: Truck, fuel tank capacity = 1, fuel spending = 11.560126049247454, carrying capacity = 619, comparison parameter = 8.650424707653585
38: Car, fuel tank capacity = 1, fuel spending = 11.373178923394713, max speed = 142, comparison parameter = 8.792616442030932
39: Bus, fuel tank capacity = 1, fuel spending = 10.8422424167524, passenger seats = 8, comparison parameter = 9.223184296773287
40: Bus, fuel tank capacity = 1, fuel spending = 10.794768371404736, passenger seats = 3, comparison parameter = 9.263746711314278
41: Car, fuel tank capacity = 1, fuel spending = 10.786628731092527, max speed = 85, comparison parameter = 9.270737177756878
42: Car, fuel tank capacity = 1, fuel spending = 10.527126642874073, max speed = 45, comparison parameter = 9.499268261172777
43: Car, fuel tank capacity = 1, fuel spending = 10.408081615179787, max speed = 132, comparison parameter = 9.607918509608327
44: Truck, fuel tank capacity = 1, fuel spending = 10.274252227352697, carrying capacity = 119, comparison parameter = 9.733068430398694
45: Car, fuel tank capacity = 2, fuel spending = 20.248342547464386, max speed = 85, comparison parameter = 9.877351666250092
46: Truck, fuel tank capacity = 1, fuel spending = 10.070860340567512, carrying capacity = 544, comparison parameter = 9.92963824522313
47: Car, fuel tank capacity = 2, fuel spending = 20.094966875807174, max speed = 195, comparison parameter = 9.952740964245377
48: Truck, fuel tank capacity = 1, fuel spending = 10.02832630972512, carrying capacity = 765, comparison parameter = 9.971753701614546
49: Truck, fuel tank capacity = 1, fuel spending = 9.99840271015387, carrying capacity = 556, comparison parameter = 10.001597545020374
50: Truck, fuel tank capacity = 2, fuel spending = 19.98646481615298, carrying capacity = 376, comparison parameter = 10.00677217505523
51: Bus, fuel tank capacity = 2, fuel spending = 19.74144636212683, passenger seats = 6, comparison parameter = 10.130969956876713
52: Truck, fuel tank capacity = 2, fuel spending = 19.707611765994383, carrying capacity = 121, comparison parameter = 10.148363098216768
53: Truck, fuel tank capacity = 1, fuel spending = 9.844206459286386, carrying capacity = 715, comparison parameter = 10.158259115509152
54: Truck, fuel tank capacity = 2, fuel spending = 19.484986864750223, carrying capacity = 972, comparison parameter = 10.264312795705024
55: Truck, fuel tank capacity = 2, fuel spending = 19.29896998507835, carrying capacity = 510, comparison parameter = 10.36324737302751
56: Bus, fuel tank capacity = 2, fuel spending = 19.28238612169344, passenger seats = 14, comparison parameter = 10.37216030929866
57: Truck, fuel tank capacity = 2, fuel spending = 19.26964988248384, carrying capacity = 897, comparison parameter = 10.379015769342052
58: Car, fuel tank capacity = 2, fuel spending = 19.243478095847383, max speed = 130, comparison parameter = 10.393131584833341
59: Truck, fuel tank capacity = 2, fuel spending = 19.209791914135142, carrying capacity = 257, comparison parameter = 10.411356921197777
60: Car, fuel tank capacity = 2, fuel spending = 19.180821946721995, max speed = 126, comparison parameter = 10.427081829732538
