Container contains 10000 elements:
1: Car, fuel tank capacity = 1, fuel spending = 100.0, max speed = 11, comparison parameter = 1.0
2: Car, fuel tank capacity = 1, fuel spending = 97.0, max speed = 43, comparison parameter = 1.0309278350515463
3: Truck, fuel tank capacity = 1, fuel spending = 96.0, carrying capacity = 32, comparison parameter = 1.0416666666666665
4: Car, fuel tank capacity = 1, fuel spending = 96.0, max speed = 35, comparison parameter = 1.0416666666666665
5: Bus, fuel tank capacity = 1, fuel spending = 96.0, passenger seats = 50, comparison parameter = 1.0416666666666665
6: Car, fuel tank capacity = 1, fuel spending = 95.0, max speed = 35, comparison parameter = 1.0526315789473684
7: Truck, fuel tank capacity = 1, fuel spending = 95.0, carrying capacity = 100, comparison parameter = 1.0526315789473684
8: Bus, fuel tank capacity = 1, fuel spending = 95.0, passenger seats = 7, comparison parameter = 1.0526315789473684
9: Truck, fuel tank capacity = 1, fuel spending = 94.0, carrying capacity = 46, comparison parameter = 1.0638297872340425
10: Car, fuel tank capacity = 1, fuel spending = 93.0, max speed = 6, comparison parameter = 1.0752688172043012
11: Car, fuel tank capacity = 1, fuel spending = 92.0, max speed = 62, comparison parameter = 1.0869565217391304
12: Bus, fuel tank capacity = 1, fuel spending = 91.0, passenger seats = 51, comparison parameter = 1.098901098901099
13: Car, fuel tank capacity = 1, fuel spending = 90.0, max speed = 68, comparison parameter = 1.1111111111111112
14: Bus, fuel tank capacity = 1, fuel spending = 90.0, passenger seats = 1, comparison parameter = 1.1111111111111112
15: Bus, fuel tank capacity = 1, fuel spending = 89.0, passenger seats = 35, comparison parameter = 1.1235955056179776
16: Truck, fuel tank capacity = 1, fuel spending = 87.0, carrying capacity = 93, comparison parameter = 1.1494252873563218
17: Truck, fuel tank capacity = 1, fuel spending = 86.0, carrying capacity = 30, comparison parameter = 1.1627906976744187
18: Bus, fuel tank capacity = 1, fuel spending = 83.0, passenger seats = 51, comparison parameter = 1.2048192771084338
19: Bus, fuel tank capacity = 1, fuel spending = 83.0, passenger seats = 54, comparison parameter = 1.2048192771084338
20: Truck, fuel tank capacity = 1, fuel spending = 81.0, carrying capacity = 29, comparison parameter = 1.2345679012345678
21: Bus, fuel tank capacity = 1, fuel spending = 81.0, passenger seats = 48, comparison parameter = 1.2345679012345678
22: Car, fuel tank capacity = 1, fuel spending = 81.0, max speed = 50, comparison parameter = 1.2345679012345678
23: Car, fuel tank capacity = 1, fuel spending = 81.0, max speed = 96, comparison parameter = 1.2345679012345678
24: Car, fuel tank capacity = 1, fuel spending = 80.0, max speed = 9, comparison parameter = 1.25
25: Bus, fuel tank capacity = 1, fuel spending = 78.0, passenger seats = 8, comparison parameter = 1.282051282051282
26: Truck, fuel tank capacity = 1, fuel spending = 78.0, carrying capacity = 56, comparison parameter = 1.282051282051282
27: Car, fuel tank capacity = 1, fuel spending = 76.0, max speed = 25, comparison parameter = 1.3157894736842104
28: Truck, fuel tank capacity = 1, fuel spending = 76.0, carrying capacity = 90, comparison parameter = 1.3157894736842104
29: Bus, fuel tank capacity = 1, fuel spending = 74.0, passenger seats = 67, comparison parameter = 1.3513513513513513
30: Car, fuel tank capacity = 1, fuel spending = 73.0, max speed = 97, comparison parameter = 1.36986301369863
31: Truck, fuel tank capacity = 1, fuel spending = 71.0, carrying capacity = 30, comparison parameter = 1.4084507042253522
32: Bus, fuel tank capacity = 1, fuel spending = 69.0, passenger seats = 70, comparison parameter = 1.4492753623188406
33: Bus, fuel tank capacity = 1, fuel spending = 66.0, passenger seats = 70, comparison parameter = 1.5151515151515151
34: Bus, fuel tank capacity = 1, fuel spending = 66.0, passenger seats = 21, comparison parameter = 1.5151515151515151
35: Truck, fuel tank capacity = 1, fuel spending = 65.0, carrying capacity = 45, comparison parameter = 1.5384615384615385
36: Car, fuel tank capacity = 1, fuel spending = 65.0, max speed = 87, comparison parameter = 1.5384615384615385
37: Bus, fuel tank capacity = 1, fuel spending = 64.0, passenger seats = 49, comparison parameter = 1.5625
38: Truck, fuel tank capacity = 1, fuel spending = 64.0, carrying capacity = 23, comparison parameter = 1.5625
39: Car, fuel tank capacity = 1, fuel spending = 62.0, max speed = 17, comparison parameter = 1.6129032258064515
40: Truck, fuel tank capacity = 1, fuel spending = 62.0, carrying capacity = 38, comparison parameter = 1.6129032258064515
41: Truck, fuel tank capacity = 1, fuel spending = 61.0, carrying capacity = 71, comparison parameter = 1.639344262295082
42: Truck, fuel tank capacity = 1, fuel spending = 59.0, carrying capacity = 62, comparison parameter = 1.694915254237288
43: Truck, fuel tank capacity = 1, fuel spending = 59.0, carrying capacity = 24, comparison parameter = 1.694915254237288
