Container contains 10000 elements:
1: Car, fuel tank capacity = 94, fuel spending = 79.0, max speed = 93, comparison parameter = 118.9873417721519
2: Bus, fuel tank capacity = 78, fuel spending = 70.0, passenger seats = 66, comparison parameter = 111.42857142857143
3: Car, fuel tank capacity = 52, fuel spending = 61.0, max speed = 12, comparison parameter = 85.24590163934425
4: Truck, fuel tank capacity = 50, fuel spending = 33.0, carrying capacity = 49, comparison parameter = 151.5151515151515
5: Truck, fuel tank capacity = 37, fuel spending = 35.0, carrying capacity = 8, comparison parameter = 105.71428571428572
6: Bus, fuel tank capacity = 79, fuel spending = 16.0, passenger seats = 78, comparison parameter = 493.75
7: Car, fuel tank capacity = 99, fuel spending = 68.0, max speed = 77, comparison parameter = 145.58823529411765
8: Truck, fuel tank capacity = 75, fuel spending = 97.0, carrying capacity = 93, comparison parameter = 77.31958762886599
9: Car, fuel tank capacity = 8, fuel spending = 22.0, max speed = 2, comparison parameter = 36.36363636363637
10: Bus, fuel tank capacity = 66, fuel spending = 25.0, passenger seats = 10, comparison parameter = 264.0
11: Car, fuel tank capacity = 67, fuel spending = 39.0, max speed = 25, comparison parameter = 171.7948717948718
12: Car, fuel tank capacity = 84, fuel spending = 2.0, max speed = 87, comparison parameter = 4200.0
13: Bus, fuel tank capacity = 92, fuel spending = 79.0, passenger seats = 69, comparison parameter = 116.45569620253164
14: Car, fuel tank capacity = 94, fuel spending = 93.0, max speed = 90, comparison parameter = 101.0752688172043
15: Car, fuel tank capacity = 96, fuel spending = 69.0, max speed = 87, comparison parameter = 139.1304347826087
16: Car, fuel tank capacity = 35, fuel spending = 99.0, max speed = 27, comparison parameter = 35.35353535353536
17: Car, fuel tank capacity = 82, fuel spending = 19.0, max speed = 56, comparison parameter = 431.57894736842104
18: Truck, fuel tank capacity = 13, fuel spending = 52.0, carrying capacity = 87, comparison parameter = 25.0
19: Truck, fuel tank capacity = 9, fuel spending = 50.0, carrying capacity = 96, comparison parameter = 18.0
20: Bus, fuel tank capacity = 78, fuel spending = 10.0, passenger seats = 45, comparison parameter = 780.0
21: Truck, fuel tank capacity = 90, fuel spending = 84.0, carrying capacity = 15, comparison parameter = 107.14285714285714
22: Car, fuel tank capacity = 59, fuel spending = 40.0, max speed = 8, comparison parameter = 147.5
23: Bus, fuel tank capacity = 34, fuel spending = 14.0, passenger seats = 66, comparison parameter = 242.85714285714283
24: Bus, fuel tank capacity = 47, fuel spending = 25.0, passenger seats = 39, comparison parameter = 188.0
25: Car, fuel tank capacity = 86, fuel spending = 11.0, max speed = 2, comparison parameter = 781.8181818181819
26: Bus, fuel tank capacity = 76, fuel spending = 21.0, passenger seats = 91, comparison parameter = 361.9047619047619
27: Bus, fuel tank capacity = 82, fuel spending = 58.0, passenger seats = 45, comparison parameter = 141.3793103448276
28: Truck, fuel tank capacity = 25, fuel spending = 58.0, carrying capacity = 32, comparison parameter = 43.103448275862064
29: Bus, fuel tank capacity = 25, fuel spending = 89.0, passenger seats = 100, comparison parameter = 28.08988764044944
30: Car, fuel tank capacity = 48, fuel spending = 100.0, max speed = 46, comparison parameter = 48.0
31: Truck, fuel tank capacity = 49, fuel spending = 32.0, carrying capacity = 24, comparison parameter = 153.125
32: Car, fuel tank capacity = 94, fuel spending = 5.0, max speed = 93, comparison parameter = 1880.0
33: Car, fuel tank capacity = 41, fuel spending = 31.0, max speed = 94, comparison parameter = 132.25806451612902
34: Car, fuel tank capacity = 10, fuel spending = 95.0, max speed = 48, comparison parameter = 10.526315789473683
35: Bus, fuel tank capacity = 43, fuel spending = 55.0, passenger seats = 72, comparison parameter = 78.18181818181819
36: Bus, fuel tank capacity = 56, fuel spending = 17.0, passenger seats = 87, comparison parameter = 329.4117647058823
37: Car, fuel tank capacity = 96, fuel spending = 23.0, max speed = 99, comparison parameter = 417.39130434782606
38: Bus, fuel tank capacity = 32, fuel spending = 66.0, passenger seats = 66, comparison parameter = 48.484848484848484
39: Car, fuel tank capacity = 37, fuel spending = 47.0, max speed = 59, comparison parameter = 78.72340425531915
40: Car, fuel tank capacity = 83, fuel spending = 53.0, max speed = 98, comparison parameter = 156.60377358490567
41: Car, fuel tank capacity = 64, fuel spending = 33.0, max speed = 17, comparison parameter = 193.93939393939394
42: Car, fuel tank capacity = 18, fuel spending = 1.0, max speed = 5, comparison parameter = 1800.0
43: Bus, fuel tank capacity = 100, fuel spending = 33.0, passenger seats = 56, comparison parameter = 303.030303030303
44: Bus, fuel tank capacity = 66, fuel spending = 59.0, passenger seats = 68, comparison parameter = 111.86440677966101
45: Car, fuel tank capacity = 14, fuel spending = 25.0, max speed = 38, comparison parameter = 56.00000000000001
46: Truck, fuel tank capacity = 97, fuel spending = 98.0, carrying capacity = 85, comparison parameter = 98.9795918367347
